,FR,ES,IT,PT,UK
valeur_288,J+10,"11 días","11 Giorni","11 dias",D+10
valeur_289,"Sans structure",Sin,"Senza struttura",Sem,"Without structure"
valeur_290,Aluminium,Aluminio,Alluminio,Alumínio,Aluminium
valeur_291,Bambou,Bambú,Bamboo,Bambu,Bamboo
valeur_293,Sans,Sin,Senza,Sem,No
valeur_294,Avec,Con,Con,Com,Included
valeur_296,Avec,Con,Con,Com,Included
valeur_297,Aile,ala,Ala,asa,Wing
valeur_298,Rond,redondo,Rotondo,redondo,Round
valeur_301,"Aluminium 1,5 mm ",Aluminio,"Alluminio 1,5 mm",Alumínio,Aluminium
valeur_302,"210g tissu polytrapièze ignifugé M1","tejido 210g M1 reciclable","210g tessuto ignifugo M1","tecido 210g M1 reciclável","270gsm Polyester Fabric M1"
valeur_303,"180g encapsulé : adhésif mat 90µ avec pelliculage 90µ, contrecollé","180g encapsulado","180g incapsulato","180g encapsulado","180gsm Encapsulated"
valeur_304,"180g plastifié 75µ satiné","180g plastificado 75 micrones satinado","180g plastificato 75 µ satinato","180g plastificação 75 micron acetinado","180gsm laminated 75µ Satin"
valeur_305,"250g Rives Tradition extra blanc","Rives Tradition Extra Blanco","250g Rives Tradition Extra Blanc","Rives Tradition Extra Branco","250gsm Rives Tradition Bright White"
valeur_306,"150g couché moderne brillant contrecollé sur compact 15/10","estucado brillante 150 gr + cartón 15/10º ","150g patinata lucida + Cartone compatto 15/10","couché brilho 150 gr + cartão 15/10º "
valeur_308,"80g adhésif satin avec refente","80 gr estucado satinado con vuelta","80g Adhésif Satin avec Refente","80 gr couché acetinado com verso","80gsm Adhesive Satin with Slitting "
valeur_309,Sans,Sin,Senza,Sem,No
valeur_311,"100µ Vinyle Blanc","Vinilo blanco","100µ Vinile bianco","Vinil branco","100µ White Vinyl"
valeur_312,"100µ vinyle transparent","Vinilo transparente","100µ vinile trasparente","Vinil transparente","100µ Transparent Vinyl"
valeur_313,Sans,Sin,Senza,Sem,No
valeur_314,Avec,Con,Con,Com,Included
valeur_316,"235g vinyle adhésifl blanc","Vinilo oracal 235gr blanco","235g Vinile Oracal Bianco","Vinil oracal 235g transparente","235gsm White Oracal Vinyl"
valeur_317,"235g vinyle adhésif transparent","Vinilo oracal 235gr transparente","235g Vinile Oracal Trasparente","Vinil oracal 235g transparente","235gsm Oracal Transparent Vinyl"
valeur_318,"1 couleur","1 color","1 colore","1 cor Pantone","1 colour"
valeur_319,"2 couleurs","2 color pantone","2 colori","2 cores Pantone","2 colours"
valeur_320,"3 couleurs","3 color pantone","3 colori","3 cores Pantone","3 colours"
valeur_321,"4 couleurs","4 color pantone","4 colori","4 cores Pantone","4 colours"
valeur_322,"Quadri + blanc sélectif","Cuatri. + blanco","Quadricromia + bianco","Quadr. + branco","4 colour + white "
valeur_323,"5 couleurs","1 color pantone +blanco","5 colori","1 cor Pantone + branco","5 colours"
valeur_330,"Rond 2 cm de diamètre","Redondo 2cm de diámetro","Cerchio di 2 cm di diametro","Redondo 2cm de diâmetro","20mm diameter circle"
valeur_331,"Rond 3 cm de diamètre","Redondo 3cm de diámetro","Cerchio di 3 cm di diametro","Redondo 3cm de diâmetro","30mm diameter circle"
