,FR,ES,IT,PT,UK
valeur_1307,"Réassort du Visuel","Recambio de visual","Riassortimento della grafica","Recarga da Imagem","Visual refill "
valeur_1322,Velcro,Velcro,Velcro,Velcro,Velcro
valeur_1324,"Boutonnières aux angles","Ojales en las esquinas","Asole agli angoli","Ilhós nos cantos","Buttonholes on the corners"
valeur_1326,Sans,Sin,Senza,Sem,No
valeur_1327,Sans,Sin,Senza,Sem,No
valeur_1329,"Doming : vinyle autocollant + résine polyuréthane bi-composante + colle ultra forte","Doming con cola Extra Fuerte","Etichette resinate: PVC adesivo + poliuretano bicomponente + colla ultra forte","Autocolante em gota de resina com cola Ultra Forte","Doming with ultra strong adhesive"
valeur_1331,"250g satiné bleu","250g Dosier satinado Azul","250g Dossier satinato blu","250g Capa Azul Acetinada","250gsm Blue Satin Folder"
valeur_1332,"250g satiné vert","250g Dosier satinado verde","250g Dossier Satinato verde","250g Capa Verde Acetinada","250gsm Green Satin File "
valeur_1333,"250g satiné orange","250g Dosier satinado naranja","250g Dossier Satinato Arancione","250g Capa Laranja Acetinada","250gsm Orange Satin Folder"
valeur_1334,"250g satiné rose","250g Dosier satinado rosa","250g Dossier Satinato Rosa","250g Capa Cor-de-rosa Acetinada","250gsm Pink Satin Folder"
valeur_1335,"250g satiné rouge","50g Dosier satinado Rojo","250g Dossier Satinato rosso","250g Capa Vermelha Acetinada ","250gsm Red Satin Folder"
valeur_1340,"250g satiné jaune","250g Dosier satinado Amarillo","250 Dossier Satinato Giallo","250g Capa Amarela Acetinada","250gsm Yellow Satin Folder"
valeur_1341,"Fibre de Verre Couleur Alu","Fibra de vidrio color aluminio","Fibra di vetro color alluminio","Fibra de vidro cor-de-alumínio","Fiberglass - Aluminium colour"
valeur_1353,"170g Yupo Tako","170g Yupo Tako","170g Yupo Tako","170g Yupo Tako","170g Yupo Tako"
valeur_1354,"135g couché brillant + carton compact 20/10","135g EB + carton compacto 20/10 ","135g patinata lucida + cartoncino compatto 20/10","135g CB + carton compacto 20/10","135gsm Gloss Coated + 2000mic board"
valeur_1357,"135g encapsulé brillant","135g encapsulado brillante","135g incapsulato lucido ","135g encapsulado brilho","135gsm Gloss encapsulated"
valeur_1359,"140g polypropylène satiné","140g Polipropileno satinado","140g Polipropilene Satinato","140g Polypropileno Acetinado","140gsm Satin Polypropylene "
valeur_1362,"Quadri HD","Cuatricromía HD","Quadricromia HD","Quadr. HD","4 colour HD"
valeur_1366,Champagne,Champagne,Champagne,Champagne,Champagne
valeur_1367,"Jaune Citron","Amarillo citrón","Giallo limone","Amarelo limão","Lemon Yellow"
valeur_1368,"Jaune Maïs","Amarillo maíz","Giallo Mais","Amarelo milho","Yellow Corn"
valeur_1369,Orange,Naranja,Arancione,Laranja,Orange
valeur_1370,Rouge,Rojo,Rosso,Vermelho,Red
valeur_1371,Bordeaux,Burdeos,Bordeaux,Bordeaux,Bordeaux
valeur_1372,Rose,Rosa,Rosa,Rosa,Pink
valeur_1373,"Bleu Ciel","Azul cielo",Azzurro,"Azul céu","Sky Blue"
valeur_1374,"Bleu Nuit","Azul noche","Blu notte","Azul noite","Night Blue"
valeur_1375,"Vert Foncé","Verde oscuro","Verde scuro","Verde escuro","Dark green"
valeur_1376,Pistache,Pistacho,Pistacchio,Pistácio,Pistache
valeur_1377,"Citron Vert",Lima,"Limone verde","Verde limão",Lime
valeur_1378,Pêche,Melocotón,Pesca,Pêssego,Peach
valeur_1379,"Vert Menthe","Verde menta","Verde menta","Verde hortelã","Mint Green"
valeur_1380,Lilas,Lila,Lilla,Lilás,Lilas
valeur_1382,Violet,Violeta,Viola,Violeta,Violet
valeur_1384,"60µ adhésif indéchirable contrecollé sur carton compact","60µ adhesivo irrompible blanco + contracolado sobre compato","60µ adesivo antistrappo incollato su cartoncino compatto","60µ autocolante irrompível branco + contracolado sobre compacto","60µ untearable white adhesive + mounted to 2mm carton board"
valeur_1385,"4 pochettes transparentes","4 bolsillos transparentes","4 buste trasparenti","4 bolsos transparentes","4 transparent wallets"
valeur_1386,"6 pochettes transparentes","6 bolsillos transparentes","6 buste trasparenti","6 bolsos transparentes","6 transparent pockets"
valeur_1387,"8 pochettes transparentes","8 bolsillos transparentes","8 buste trasparenti","8 bolsos transparentes","8 transparent pockets"
valeur_1388,"10 pochettes transparentes","10 bolsillos transparentes","10 buste trasparenti","10 bolsos transparentes","10 transparent pockets"
valeur_1390,Or,Oro,Oro,Ouro,Gold
valeur_1391,Argent,Plata,Argento,Prata,Silver
valeur_1392,"Collerette bouteille","Collarín de botella","Collarino per bottiglie","Gargantilha para garrafa","Bottle label"
valeur_1393,"PLV de table 10 x 15 x 7,2 cm","PLV de mesa 10 x 15 x 7,2 cm","Segnaposto da tavola 10 x 15 x 7,2 cm","PLV de mesa 10 x 15 x 7,2 cm","Showcards 100 x 150 x 72mm"
valeur_1394,"PLV de table 15 x 13 x 13 cm","PLV de mesa 15 x 13 x 13 cm","Segnaposto da tavola 15 x 13 x 13 cm","PLV de mesa 15 x 13 x 13 cm","Showcards 150 x 130 x 130mm"
valeur_1396,"100g kraft rouge","100g Kraft Rojo","100g Kraft Rossa","100g Kraft Vermelho","100gsm Red Kraft"
valeur_1397,"120g Kraft rouge","120g Kraft rojo","120g Kraft Rosso","120g Kraft vermelho","120gsm Red Kraft"
valeur_1398,"100g kraft noir","100g Kraft Negro","100g Kraft Nero","100g Kraft Preto","100gsm Black Kraft"
valeur_1399,"120g kraft noir","120g Kraft Negro","120g Kraft Nero","120g Kraft Preto","120gsm Black Kraft"
valeur_1402,"80g offset bleu","80g Offset Azul","80g Offset Blu","80g Offset Azul","80gsm Offset Blue"
valeur_1403,"80g offset jaune","80g Offset amarillo","80g Offset Giallo","80g Offset Amarelo","80gsm Offset Yellow"
valeur_1404,"80g offset vert","80g Offset Verde","80g Offset Verde","80g Offset Verde","80gsm Offset Green"
valeur_1405,"Tripli - 80g blanc CB / 80g rose CFB / 80g jaune CF ","Tripli - EB Blanco 80g / EFB Rosa 80g / EF Amarillo 80g","Triplice - CB Bianco 80g / CFB Rosa 80g / CF Giallo 80g","Triplo - CB Branco 80g / CFB Rosa 80g / CF Amarelo 80g","Triplicate: 60gsm Top White / 60gsm Middle Pink / 60gsm Bottom Yellow"
valeur_1406,"Dupli - 80g blanc CB / 80g jaune CF","Dupli - EB Blanco 80g / CF Amarillo 80g","Duplice - CB Bianco 80g / CF Giallo 80g","Duplo - CB Branco 80g / CF Amarelo 80g","Duplicate: 80gsm Top White / 80gsm Bottom Yellow"
valeur_1416,Anglais,Inglés,Inglese,Inglês,Yes
valeur_1419,"Magnet véhicule","Imán para vehículos","Magnete per Veicoli","IMAN VEICULO","0.75mm magnet + 0.1mm white vinyl"
valeur_1426,"Dos blanc 300g couché mat","Dorso en 300g Estucado Mte","Dorso 300g patinato opaco","Verso branco 300g couché mate","300gsm Matt Coated (backing sheet)"
valeur_1427,"Dessus blanc 250g couché brillant","Dorso en 250g Estucado Brillante","Dorso 250g patinato lucido","Superior branco 250g couché brilho","250gsm Gloss Coated (cover)"
valeur_1434,"UK 120gsm Premium Smooth","UK 120gsm Premium Smooth","UK 120gsm Premium Smooth","UK 120g Premium Smooth","UK- 120gsm Premium Smooth"
valeur_1436,"Baguette alu clipante haut et bas","Barra aluminio con clip arriba y abajo","Bacchette a pressione in alto e in basso","Barra alu. clipante sobe e desce","Aluminium Rod (clipped top/bottom)"
valeur_1437,"Baguette PVC clipante haut et bas","Barra PVC con clip arriba y abajo","Bacchette in PVC a pressione sopra e sotto","Barra em PVC clipante superior e inferior  ","PVC Rod (clipped top/bottom)"
valeur_1438,"Tourillon bois + cordelette","Barra de madera + cuerda","Bacchette di legno + cordino","Suporte madeira + cordel","Wood fixings + cord"
valeur_1439,"280g satin M1","280g Satin M1","280g Satinato M1","280g M1 Acetinado","280g Satin M1"
valeur_1442,"Demande initiale","Pedido inicial","Prima richiesta","Pedido inicial","With registration"
valeur_1443,"2ème demande","Pedido siguiente","Richiesta successiva","Pedido seguinte","Additional copy"
valeur_1444,Sans,Sin,Senza,Sem,No
valeur_1445,"172µ : adhésif Aslan translucide M1 62µ + support 110µ","172µ Adhesivo Aslan translúcido 62µ + Soporte 110µ","172µ: adesivo Aslan traslucido M1 62µ + supporto 110µ","172µ Autocolante Aslan translúcido 62µ + Suporte 110µ"
valeur_1446,"172µ : adhésif Aslan fluo rouge 62µ + support 110µ","172µ Adhesivo Aslan fluor 62µ + Soporte 110µ","172µ: adesivo Aslan fluo rosso 62µ + supporto 110µ","172µ Autocolante Aslan fluor 62µ + Suporte 110µ"
valeur_1447,"172µ : adhésif Aslan dépoli 62µ + support 110µ","172µ Adhesivo Aslan depoli 62µ + Soporte 110µ","172µ: adesivo Aslan effetto sabbiato 62µ + supporto 110µ","172µ Autocolante Aslan depoli 62µ + Suporte 110µ"
valeur_1450,"Mat Soft Touch","Mate soft touch","Opaca Soft Touch","Mate Soft Touch","Soft Touch"
valeur_1487,"UK 135gsm Trisolv postart paper","UK 135gsm Trisolv postart paper","UK 135gsm Trisolv postart paper","UK 135gsm Trisolv postart paper","UK- 135gsm Trisolv postart paper"
valeur_1488,"Vernis UV sélectif 3D","Barniz selectivo UV 3D","Vernice UV selettiva 3D","Verniz UV seletivo 3D","3D spot UV varnish "
valeur_1492,"UK 234gsm Polyester Lightblock","UK 234gsm Polyester Lightblock","UK 234gsm Polyester Lightblock","UK 234gsm Poliester Lightblock","UK- 234gsm Polyester Lightblock"
valeur_1495,"80g adhésif papier couché brillant permanent","80g Adhesivo paper Estucado brillante permanente","80g Adesivo carta permanente patinata lucida","80g Autocolante Papel Couché Brilho Permantente","80g Permanent gloss coated paper "
valeur_1502,Sans,Sin,Senza,Sem,No
valeur_1503,"Or à chaud page 1","Oro en caliente página 1","Oro a caldo pagina 1","Ouro a quente página 1","Gold Foil (front) "
valeur_1504,"Argent à chaud page 1","Plata en caliente página 1","Argento a caldo pagina 1","Prata a quente página 1","Silver Foil (front)"
valeur_1506,Sans,Sin,Senza,Sem,No
valeur_1507,"Gaufrage page 1","Gofrado página 1","Goffratura pagina 1","Relevo página 1","Embossed (front) "
valeur_1528,"IT 180g TNT","IT 180g TNT","180g TNT","IT 180g TNT"
valeur_1529,"172µ : adhésif Aslan fluo Jaune 62µ + support 110µ","172µ Adhesivo Aslan amarillo fluo 62µ + soporte 110µ","172µ: adesivo Aslan fluo giallo 62µ + supporto 110µ","172µ Autocolante Aslan fluorescente Amarelo 62µ + Suporte 110µ"
valeur_1535,"75g papier offset blanc","75g Papel Oficina Blanco","75g carta usomano bianca","75g Papel Offset Branco","75gsm Uncoated White"
valeur_1536,"Multi-plis plan","Multi-plis plano",Multi-pieghe,"Multi-dobras plano","multi folded map"
valeur_1537,"UK 430gsm Polyester Lightblock","UK 430gsm Polyester Lightblock","UK 430gsm Polyester Lightblock","UK 430gsm Polyester Lightblock","430gsm Polyester Lightblock"
valeur_1551,perpendiculaires,perpendiculares,perpendicolare,perpendiculares,Perpendicular
valeur_1554,"350g bâche PVC micro-perforée","350g Lona microperforada","350g Banner Microperforato","350g lona microperfurada","350gsm Mesh banner"
valeur_1555,"510g bâche PVC ignifugé M1","510g lona PVC M1","510g banner in PVC ignifugo M1","510g Lona PVC M1","510gsm PVC banner - M1 Fire retardent"
valeur_1567,"Thé vert","Té verde","The verde","Chá verde","Green tea"
valeur_1568,"Taurine Pomme","Taurina de manzana",Mela,"Maçã Energética","Taurine Apple"
valeur_1569,Raisin,Uva,Uva,Uva,Grape
valeur_1573,Cartonné,Cartón,Cartonato,"Capa dura",Cardboard
valeur_1574,"UK 400gsm Silk Coated","UK 400gsm Silk Coated","UK 400gsm Silk Coated","UK 400gsm Silk Coated","UK- 400gsm Silk Coated"
valeur_1576,"1 perforation de 5 mm","1 perforación de 5mm","1 perforazione da 5 mm","1 perfuração de 5mm","5mm drilled hole"
valeur_1577,"1 perforation oblongue","1 perforación ovalada de 16x3mm","1 perforazione di 16x3 mm","1 perfuração oval de de 16x3mm","1 Oblong hole"
valeur_1578,"Champ texte et/ou code à barres et/ou numérotation","Campo de texto y/o código de barras y/o numeración","Campo di testo e/o codice a barre e/o numerazione","Campo de texto e/ou código de barras e/ou numeração","Text field and/or bar code and/or numbering"
valeur_1589,"230g Curious Translucents","Curious Translúcido 230g","230g Curious Translucents","230g Curious Translucents","230gsm Curious Translucents"
valeur_1590,"Paillette Or","Purpurina Oro","Paillette Oro","Ouro purpurina"
valeur_1591,"Paillette Argent","Purpurina plata","Paillette Argento","Prata purpurina","Silver Varnish"
valeur_1592,"Paillette Or","Purpurina Oro","Paillette Oro","Ouro purpurina"
valeur_1593,"Paillette Argent","Purpurina plata","Paillette Argento","Prata purpurina","Silver Varnish"
valeur_1596,"105g Tyvek fluo jaune - dos blanc","105g Tyvek Fluor amarillo - dorso blanco","105g Tyvek Giallo Fluo - retro bianco","105g Tyvek Amarelo Fluorescente - verso branco","105gsm Tyvek fluorescent yellow - white back"
valeur_1600,"Adhésif transparent","Adhesivo transparente","Adesivo trasparente","Autocolante transparente","Transparent adhesive "
valeur_1601,"300g blanc texturé bois","300g Blanc Textura Madera","300g Bianco Effetto Legno","300g Texturado Madeira","300gsm Textured Wood Effect"
valeur_1603,"250g Chromolux blanc","250g Chromolux Blanco","250 Chromolux Bianco","250g Chromolux Branco","250gsm Chromolux White"
valeur_1605,UV,UV,UV,UV,UV
valeur_1606,Ecosolvant,Ecosolvente,Ecosolvent,Ecosolvente,"Ecosolvent "
valeur_1607,"Monomère pose facile - Colle structurée","Monómero fácil instalación - Estructura encolada","Monomerico Easy Apply - Colla strutturata","Momómero fácil instalação - cola estruturada","Easy to stick monomer"
valeur_1608,"Monomère épais colle enlevable","Monómero cola reposicionable","Monomerico colla removibile","Monómero cola removível","Monomer - removable glue"
valeur_1609,"Coulé blanc pose facile pour surface courbe","Polímero Blanco superficie curva","Polimerico bianco per superfici curve","Polímero branco para superfície curvada","White polymer for curved surfaces"
valeur_1610,"Polymère blanc diffusant pour enseigne lumineuse","Polímero blanco translúcido para señal luminosa","Polimerico bianco opalino per insegne luminose  ","Polímero branco difundido para um letreiro luminoso","Backlit white polymer"
valeur_1612,"Coulé conformable avec plastification brillante","PVC adaptable con plastificado brillante","PVC comformabile con plastificazione lucida","PVC conforme com plastificação brilhante","Moldable vinyl - gloss encapsulation"
valeur_1613,Blanc,Blanco,Bianco,Branco,White
valeur_1614,"Effaçable à sec","Borrado en seco",Scrivibile,"Apágavel a seco","Dry erasing "
valeur_1615,"Spécial sol","Especial suelo","Speciale calpestabile ","Especial chão","Floor application "
valeur_1616,"Blanc sélectif",Blanco,Bianco,Branco,White
valeur_1617,"Découpe à mi-chair vectorielle","Troquelado a la forma vectorial","Mezzotaglio vettoriale",Pré-cortado,"Kiss cut (to the vector shape)"
valeur_1618,"Monomère colle permanente","Monómero cola permanente","Monomerico colla permanente","Monómero cola permanente","Monomer - permanent glue"
valeur_1619,Blanc,Blanco,Bianco,Branco,White
valeur_1620,Transparent,Transparente,Trasparente,Transparente,Transparent
valeur_1622,"600g Gmund crème","600g Gmund Blanco","600g Gmund Bianco","600g Gmund Branco","600gsm Gmund White"
valeur_1623,Typographie,Tipografia,Tipografia,Tipografia,Letterpress
valeur_1624,Avec,Con,Con,Com,Yes
valeur_1625,Sans,Sin,Senza,Sem,No
valeur_1626,"Polymère transparent pour surface courbe","Polímero transparente para superfície curva","Polimerico trasparente per superfici curve","Polímero transparente para superfície curva","Transparent polymer for curved surfaces"
valeur_1628,Sans,Sin,Senza,Sem,No
valeur_1632,"155g tissu diffusant","155g tela difusa","155g tessuto in poliestere","155g tecido difusor"
valeur_1633,"Aluminium Gris Anodisé","Aluminio anodizado gris","Alluminio grigio anodizzato","Aluminio Cinzento Anodizado"
valeur_1634,"Aluminium Blanc","Aluminio blanco","Alluminio bianco","Aluminio Branco","White Aluminium"
valeur_1636,Sans,Sin,Senza,Sem,No
valeur_1637,Avec,Con,Con,Com,Yes
valeur_1638,Sans,Sin,Senza,Sem,No
valeur_1639,Avec,Con,Con,Com,Yes
valeur_1641,Sans,Sin,Senza,Sem,No
valeur_1642,Avec,Con,Con,Com,Yes
valeur_1643,"Pell soft touch",Con,Con,Com,Yes
valeur_1644,Sans,Sin,Senza,Sem,No
valeur_1645,Sans,Sin,Senza,Sem,no
valeur_1646,Silver,Silver,Argento,Silver,Silver
valeur_1647,Gold,Gold,Oro,Gold,"Gold "
valeur_1648,Platinium,Platinum,Platino,Platinum,Platinum
valeur_1650,Sans,Sin,Senza,Sem,Without
valeur_1651,Entretoises,Separadores,Tradizionale,Espaçadores,"Screws / spacers"
valeur_1652,Décofix,Decofix,"Pix Fix",Decofix,Decofix
valeur_1653,"Alu Panel 3,5 mm","Panel aluminio 3,5mm","Alupanel 3,5 mm","Alu Painel de 3,5 mm","Aluminium Panel 3.5mm"
valeur_1656,"Polymère colle permanente pose facile","Polímero cola permanente puesta fácil","Polimero colla permanente easy-apply","Polímero cola permanente colocação fácil","Polymer - easy application, permanent glue"
valeur_1663,"PVC - Diamètre 9 mm - longueur 110 cm","PVC - Diámetro 9 mm - largo 110cm","PVC - Diametro 9 mm - lunghezza 110 cm","PVC - Diâmetro 9 mm - Altura 110cm"
valeur_1664,"Bois - Diamètre 10 mm - Longueur 64 cm","Madera - diámetro 10mm - largo 64cm","Legno - Diametro 10 mm - Lunghezza 64 cm","Madeira - diâmetro 10mm - altura 64cm"
valeur_1665,"PVC - Diamètre 9 mm - longueur 75 cm","PVC - diámetro 9mm - largo 75cm","PVC - Diametro 9 mm - lunghezza 75 cm","PVC - diâmetro 9mm - altura 75cm"
valeur_1668,"Numérique jet d'encre","Digital inyección de tinta ","Getto d'inchiostro","Digital jacto de tinta",Inkjet
valeur_1669,"105g offset blanc dos bleu","105 Offset dorso blanco","105g Blueback","105 Offset verso branco","105gsm Offset Blue Back"
valeur_1671,Sans,Sin,Senza,Sem,Without
valeur_1672,Avec,Con,Con,Com,With
valeur_1674,"Acrylique 1,6 mm","Acrílico 1,6mm","Plastica 1,6 mm","Acrilíco 1,6mm","Arcylic 1.6mm"
valeur_1675,"Laiton 2 mm","Latón 2 mm","Ottone 2 mm","Latão 2 mm","Brass 2mm"
valeur_1676,"Plexiglas 3 mm","Plexiglás 3 mm","Plexiglass 3 mm","Plexiglas 3 mm","Plexiglass 3mm"
valeur_1678,Rouge,Rojo,Rosso,Vermelho,Red
valeur_1679,Orange,Naranja,Arancione,Laranja,Orange
valeur_1680,Vert,Verde,Verde,Verde,Green
valeur_1681,Bleu,Azul,Blu,Azul,Blue
valeur_1682,"Gris clair","Gris claro","Grigio chiaro","Cinza claro","Clear Grey"
valeur_1683,Blanc,Blanco,Bianco,Branco,White
valeur_1684,"Gris foncé","Gris oscuro","Grigio scuro","Cinza escuro"
valeur_1685,"Noir mat","Negro mate","Nero opaco","Preto mate","Matt Black"
valeur_1686,"Noir brillant","Negro brillante","Nero lucido","Preto brilhante","Gloss Black"
valeur_1687,Bronze,Bronce,Bronzo,Bronze,Bronze
valeur_1688,"Or mat","Oro mate","Oro opaco","Ouro mate","Matt Gold"
valeur_1689,Doré,Dorado,Dorato,Dourado,Gold
valeur_1690,"Or brillant","Oro brillante","Oro lucido","Ouro brilhante","Gloss Gold"
valeur_1691,Aluminium,Aluminio,Alluminio,Alumínio,"Aluminium "
valeur_1692,"Argent mat","Plateado mate","Argento opaco","Prateado mate","Matt Silver"
valeur_1693,"Argent brillant","Plateado brillante","Argento lucido","Prateado brilhante","Gloss Silver"
valeur_1694,Transparent,Transparente,Trasparente,Transparente,Transparent
valeur_1695,"Gravure rouge","Grabado rojo","Incisione rossa","Gravado vermelho"
valeur_1696,"Gravure or","Grabado oro","Incisione oro","Gravado ouro"
valeur_1698,"Gravure transparente","Grabado transparente","Incisione trasparente","Gravado transparente"
valeur_1699,"Gravure noire","Grabado negro","Incisione nera","Gravado preto"
valeur_1700,"Gravure blanche","Grabado blanco","Incisione bianca","Gravado branco"
valeur_1701,"Gravure gris alu","Grabado gris alu","Incisione grigio alluminio","Gravado cinza alu"
valeur_1702,Sans,Sin,Senza,Sem,Without
valeur_1703,Avec,Con,Con,Com,With
valeur_1704,"Gravure laser","Grabado láser","Incisione laser","Gravado laser","Laser engraving"
valeur_1705,"Gravure mécanique","Grabado mecánico","Incisione meccanica","Gravação mecânica",Engraving
valeur_1706,"Adhésif surface",Adhesivo,"Superficie adesiva",Autocolante,"Adhesive surface"
valeur_1707,Laiton,Latón,Ottone,Latão,Brass
valeur_1708,"Coupe biseau","Corte biselado","Taglio con angoli smussati","Corte biselado"
valeur_1709,Sans,Sin,Senza,Sem,Without
valeur_1710,Avec,Con,Con,Com,With
valeur_1711,Sans,Sin,Senza,Sem,Without
valeur_1712,"Mousse des bois","Mouse de madera","Muschio di legno","Musgo dos bosques","Woodland moss"
valeur_1713,"Lichen des rennes","Liquen de renos","Lichene delle renne","Líquen de renas","Reindeer lichen"
valeur_1714,"PVC blanc satin 19 mm","PVC blanco 19mm","PVC bianco 19 mm","PVC branco 19mm","White PVC 19mm"
valeur_1715,"PVC noir satin 19 mm","PVC negro 19mm","PVC nero 19 mm","PVC preto 19mm","Black PVC 19mm"
valeur_1718,"400g Bristol blanc","400 gr. bristol blanco","400g Bristol bianco","400 gr. bristol branco","400gsm White Bristol"
valeur_1719,"178 pages","178 pags.","178 pagine","178 págs.","178 pages"
valeur_1721,"Accroche porte grand modèle","COlgador modelo puerta grande","Cartellino da porta modello grande","Pendurador modelo porta grande","Large door hanger"
valeur_1722,"Accroche porte cintre","Colgador percha puerta","Cartellino da porta appendiabiti","Pendurador Cabideiro porta","Clothe hanger shape"
valeur_1723,"Accroche rétroviseur","Colgador retrovisor","Cartellino per specchietto retrovisore","Pendurador retrovisor","Mirror hanger"
valeur_1724,"250µ Polycarbonate","250µ Policarbonato","250µ Policarbonato","250µ Policarbonato","250µ Polycarbonate"
valeur_1725,"450µ polycarbonate aspect dépoli","450µ Policarbonato","450µ Policarbonato","450µ Policarbonato","450µ Polycarbonate"
valeur_1726,Cup,Taza,Coppa,Cup,Cup
valeur_1727,Flam,Flan,Fiamma,Flã,Flame
valeur_1728,"4,5 kg","4,5 kg.","4,5 kg","4,5 kg","4.5 kg"
valeur_1732,"80g Ecolabel Européen","80g Ecolabel europea","80g usomano Ecolabel UE","80g Ecolabel Europeu","80gsm White offset"
valeur_1735," Yupo Tako sans PVC blanc satin","Yupo Tako sin PVC blanco satinado","Yupo Tako senza PVC bianco satinato","Yupo Tako sem PVC branco acetinado","Yupo Tako PVC free - white satin"
valeur_1736,"Yupo Tako sans PVC transparent","Yupo Tako sin PCV transparente","Yupo Tako senza PVC trasparente","Yupo Tako sem PVC transparente","Yupo Tako PVC free - transparent"
valeur_1737,"Vinyle adhésif blanc grainé anti-dérapant Floor In ","Vinilo adhesivo blanco granulado anti-derrapante para suelo interior","PVC adesivo bianco calpestabile anti-scivolo per interni","Vinil autocolante branco granulado anti-derrapante chão interior","Textured anti-slip white vinyl (Floor Indoors)"
valeur_1738,"Vinyle adhésif blanc grainé anti-dérapant Floor Out","Vinilo adhesivo blanco granulado anti-derrapante para suelo exterior
","PVC adesivo bianco calpestabile anti-scivolo per esterno","Vinil autocolante branco granulado anti-derrapante chão exterior","Textured anti-slip white vinyl (Floor Outdoors)"
valeur_1739,"Verre acrylique dépoli blanc 6 mm","Vidrio acrílico mate blanco 6 mm","Plexiglass effetto sabbiato bianco 6 mm","Vidro Acrílico fosco branco 6 mm","6mm White frosted acrylic glass"
valeur_1740,"Polyuréthane pose facile et ultra enlevable ","Poliuretano puesta fácil y ultra reposicionable","Poliuretano espanso adesivo easy-apply e ultra removibile","Poliuretano colocação fácil e ultra-removível","Polyurethane easy application and removable"
valeur_1742,"Boîte à bijoux S","Caja joyas S","Astuccio ovale piccolo S","Caixa jóias S","Jewellery pillow pack (Small)"
valeur_1743,"Boîte à bijoux M","Caja joyas M","Astuccio ovale piccolo M","Caixa de jóias M","Jewellery pillow pack (Medium)"
valeur_1744,"Boîte à bijoux L","Caja joyas L","Astuccio ovale piccolo L","Caixa de jóias L","Jewellery pillow pack (Large)"
valeur_1745,"Boîte vêtements S","Caja ropa S","Astuccio ovale grande S","Caixa de roupa S","Garment pillow pack (Small)"
valeur_1746,"Boîte vêtements M","Caja ropa M","Astuccio ovale grande M","Caixa de roupa M","Garment pillow pack (Medium)"
valeur_1747,"Boîte vêtements L","Caja ropa L","Astuccio ovale grande L","Caixa de roupa L","Garment pillow pack (Large)"
valeur_1748,"Boîte coffret S","Caja cofre S","Scatola con coperchio alto S","Caixa box S","Goody box (Small)"
valeur_1749,"Boîte coffret M","Caja cofre M","Scatola con coperchio alto M","Caixa box M","Goody box (Medium)"
valeur_1750,"Boîte coffret L","Caja cofre L","Scatola con coperchio alto L","Caixa box L","Goody box (Large)"
valeur_1751,"Boîte bouteille avec fenêtre S","Caja botella con ventana S","Scatola portabottiglie con finestra S","Caixa garrafa com janela S","Windowed wine box (Small)"
valeur_1752,"Boîte bouteille avec fenêtre M","Caja botella con ventana M","Scatola portabottiglie con finestra M","Caixa garrafa com janela M","Windowed wine box (Medium)"
valeur_1753,"Boîte bouteille avec fenêtre L","Caja Botella con ventana L","Scatola portabottiglie con finestra L","Caixa garrafa com janela L","Windowed wine box (Large)"
valeur_1754,"Boîte bouteille sans fenêtre S","Caja Botella sin ventana S","Scatola portabottiglie senza finestra S","Caixa garrafa sem janela S","Non-windowed wine box (Small)"
valeur_1755,"Boîte bouteille sans fenêtre M","Caja Botella sin ventana M","Scatola portabottiglie senza finestra M","Caixa garrafa sem janela M","Non-windowed wine box (Medium)"
valeur_1756,"Boîte bouteille sans fenêtre L","Caja Botella sin ventana L","Scatola portabottiglie senza finestra L","Caixa garrafa sem janela L","Non-windowed wine box (Large)"
valeur_1757,"Boîte courrier S","Caja envío S","Cofanetto portadocumenti S","Caixa envio S","Presentation pack (Small)"
valeur_1758,"Boîte courrier M","Caja envío M","Cofanetto portadocumenti M","Caixa envio M","Presentation pack (Medium)"
valeur_1759,"Boîte courrier L","Caja envío L","Cofanetto portadocumenti L","Caixa envio L","Presentation pack (Large)"
valeur_1760,"Boîte d'envoi carré S","Caja envío cuadrada S","Cofanetto base quadrata S","Caixa envio quadrada S","Durable square box (Small)"
valeur_1761,"Boîte d'envoi carré M","Caja envío cuadrada M","Cofanetto base quadrata M","Caixa envio quadrada M","Durable square box (Medium)"
valeur_1762,"Boîte d'envoi carré L","Caja envío cuadrada S","Cofanetto base quadrata L","Caixa envio quadrada L","Durable square box (Large)"
valeur_1763,"Boîte d'envoi rectangle S","Caja envío rectangular S","Cofanetto base rettangolare S","Caixa envio retangular S","Durable rectangular box (Small)"
valeur_1764,"Boîte d'envoi rectangle M","Caja envío rectangular M","Cofanetto base rettangolare M","Caixa envio retangular M","Durable rectangular box (Medium)"
valeur_1765,"Boîte d'envoi rectangle L","Caja envío rectangular L","Cofanetto base rettangolare L","Caixa enivo retangular L","Durable rectangular box (Large)"
valeur_1766,"Boîte chocolat S","Caja chocolate S","Bauletto chiusura a fiocco S","Caixa chocolate S","Dome confectionery box (Small)"
valeur_1767,"Boîte chocolat M","Caja chocolate M","Bauletto chiusura a fiocco M","Caixa chocolate M","Dome confectionery box (Medium)"
valeur_1768,"Boîte chocolat L","Caja chocolate L","Bauletto chiusura a fiocco L","Caixa chocolate L","Dome confectionery box (Large)"
valeur_1769,"Lunch Box S",,"Cofanetto chiusura a maniglia S","Lunch Box S","Takeaway box (Small)"
valeur_1770,"Lunch Box M",,"Cofanetto chiusura a maniglia M","Lunch Box M","Takeaway box (Medium)"
